dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc
bamboogle	meta-llama-llama-3-3-70b-instruct	pairwise_assistive	60	4	52	7	0.9375	0.8955223880597015	0.9160305343511451	0.4796747967479675	0.8813559322033898	0.42276422764227645	0.9105691056910569
bamboogle	meta-llama-llama-3-3-70b-instruct	pairwise_incremental	54	7	49	13	0.8852459016393442	0.8059701492537313	0.84375	0.5040650406504065	0.7903225806451613	0.3983739837398374	0.8373983739837398
bamboogle	meta-llama-llama-3-3-70b-instruct	pairwise_model_generated	61	12	44	6	0.8356164383561644	0.9104477611940298	0.8714285714285713	0.4065040650406504	0.88	0.35772357723577236	0.8536585365853658
bamboogle	meta-llama-llama-3-3-70b-instruct	self_consistency	1	0	56	66	1.0	0.014925373134328358	0.029411764705882353	0.991869918699187	0.45901639344262296	0.45528455284552843	0.4634146341463415
bamboogle	meta-llama-llama-3-3-70b-instruct	ensemble_pairwise_both	60	7	49	7	0.8955223880597015	0.8955223880597015	0.8955223880597015	0.45528455284552843	0.875	0.3983739837398374	0.8861788617886179
bamboogle	meta-llama-llama-3-3-70b-instruct	ensemble_ays_pairwise_assistive	61	9	47	6	0.8714285714285714	0.9104477611940298	0.8905109489051095	0.43089430894308944	0.8867924528301887	0.3821138211382114	0.8780487804878049
bamboogle	meta-llama-llama-3-3-70b-instruct	ensemble_ays_pairwise_incremental	57	10	46	10	0.8507462686567164	0.8507462686567164	0.8507462686567164	0.45528455284552843	0.8214285714285714	0.37398373983739835	0.8373983739837398
bamboogle	meta-llama-llama-3-3-70b-instruct	ensemble_idk_pairwise_assistive	60	10	46	7	0.8571428571428571	0.8955223880597015	0.8759124087591241	0.43089430894308944	0.8679245283018868	0.37398373983739835	0.8617886178861789
bamboogle	meta-llama-llama-3-3-70b-instruct	ensemble_idk_pairwise_incremental	58	12	44	9	0.8285714285714286	0.8656716417910447	0.8467153284671534	0.43089430894308944	0.8301886792452831	0.35772357723577236	0.8292682926829268
bamboogle	meta-llama-llama-3-3-70b-instruct	ensemble_ays_idk_pairwise_assistive	61	13	43	6	0.8243243243243243	0.9104477611940298	0.8652482269503546	0.3983739837398374	0.8775510204081632	0.34959349593495936	0.8455284552845529
bamboogle	meta-llama-llama-3-3-70b-instruct	ensemble_ays_idk_pairwise_incremental	59	14	42	8	0.8082191780821918	0.8805970149253731	0.8428571428571429	0.4065040650406504	0.84	0.34146341463414637	0.8211382113821138
bamboogle	meta-llama-llama-3-3-70b-instruct	ensemble_ays_idk_pairwise_both	61	14	42	6	0.8133333333333334	0.9104477611940298	0.8591549295774649	0.3902439024390244	0.875	0.34146341463414637	0.8373983739837398
bamboogle	mistralai-mistral-7b-instruct-v0-3	ays	39	2	17	65	0.9512195121951219	0.375	0.5379310344827586	0.6666666666666666	0.2073170731707317	0.13821138211382114	0.45528455284552843
bamboogle	mistralai-mistral-7b-instruct-v0-3	idk	23	2	17	81	0.92	0.22115384615384615	0.35658914728682173	0.7967479674796748	0.17346938775510204	0.13821138211382114	0.3252032520325203
bamboogle	mistralai-mistral-7b-instruct-v0-3	pairwise_assistive	45	3	16	59	0.9375	0.4326923076923077	0.5921052631578948	0.6097560975609756	0.21333333333333335	0.13008130081300814	0.4959349593495935
bamboogle	mistralai-mistral-7b-instruct-v0-3	pairwise_incremental	42	4	15	62	0.9130434782608695	0.40384615384615385	0.5599999999999999	0.6260162601626016	0.19480519480519481	0.12195121951219512	0.4634146341463415
bamboogle	mistralai-mistral-7b-instruct-v0-3	pairwise_model_generated	33	4	15	71	0.8918918918918919	0.3173076923076923	0.46808510638297873	0.6991869918699187	0.1744186046511628	0.12195121951219512	0.3902439024390244
bamboogle	mistralai-mistral-7b-instruct-v0-3	self_consistency	15	1	18	89	0.9375	0.14423076923076922	0.25	0.8699186991869918	0.16822429906542055	0.14634146341463414	0.2682926829268293
bamboogle	mistralai-mistral-7b-instruct-v0-3	ensemble_pairwise_both	59	6	13	45	0.9076923076923077	0.5673076923076923	0.6982248520710059	0.4715447154471545	0.22413793103448276	0.10569105691056911	0.5853658536585366
bamboogle	mistralai-mistral-7b-instruct-v0-3	ensemble_ays_pairwise_assistive	65	5	14	39	0.9285714285714286	0.625	0.7471264367816093	0.43089430894308944	0.2641509433962264	0.11382113821138211	0.6422764227642277
bamboogle	mistralai-mistral-7b-instruct-v0-3	ensemble_ays_pairwise_incremental	59	5	14	45	0.921875	0.5673076923076923	0.7023809523809524	0.4796747967479675	0.23728813559322035	0.11382113821138211	0.5934959349593496
bamboogle	mistralai-mistral-7b-instruct-v0-3	ensemble_idk_pairwise_assistive	58	4	15	46	0.9354838709677419	0.5576923076923077	0.6987951807228916	0.4959349593495935	0.2459016393442623	0.12195121951219512	0.5934959349593496
